R,DC,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile voltage,Third Quartile voltage,Absolute Mean Deviation voltage,Absolute Local Derivative voltage
0.22,50,0.128886560073498,0.153715748493059,0.0508690812770123,0.000276252918919103,0.129224361151363,0.113459869803707,0.144437024617257,0.0146625897956764,0.000496848297903858
0.22,51,0.130064606353795,0.155404097097284,0.0518214335542251,0.000285307453589445,0.130368476749209,0.114345714516341,0.145892895995581,0.0149042223607856,0.000504362671122451
0.22,52,0.13157241368631,0.157551935048903,0.0530354064006435,0.000297319025468657,0.131802515589695,0.11548604727279,0.147724559852412,0.0152189533509243,0.000514022865147537
0.22,53,0.133275339618545,0.15943557759608,0.053440685530477,0.000311287108728887,0.133376944403312,0.116779049749652,0.149944569003952,0.0155791316074687,0.000525002957253164
0.22,54,0.134327820079266,0.161175945882625,0.0544931926057491,0.000320274225821867,0.134474738320575,0.117607838938045,0.151157139586458,0.0158072709776221,0.000531831814473788
0.22,55,0.135660964925095,0.162776595700986,0.0553252776097862,0.00033196943072929,0.135738167394983,0.118638131720435,0.15284845879445,0.0161004575632863,0.000540521085705936
0.22,56,0.136611437219666,0.164261820809771,0.0561182278355421,0.000340517756788978,0.136678988726725,0.119326700474533,0.154097605582664,0.016312309588528,0.000546730721730687
0.22,57,0.137811011694853,0.165786167604993,0.0569833554177561,0.000351573688988031,0.137784504842155,0.12022383982974,0.155654957065549,0.0165830104269969,0.000554594002784358
0.22,57,0.138602951082866,0.166903238483676,0.0574228100646316,0.000359004669090755,0.138599178719259,0.120828579577426,0.156794490351681,0.0167635453739901,0.000559795678656156
0.22,59,0.139859604151707,0.168673957102333,0.0580796890819946,0.000371058329572453,0.139813191021383,0.121773527380977,0.158320089324741,0.0170552578387473,0.000568056627152619
0.22,60,0.140766990814087,0.169836897179996,0.0588018302915609,0.000380002532158145,0.140558618892013,0.122421324954368,0.159455474971327,0.0172689058266116,0.000574055013701455
0.22,61,0.141423067414378,0.170730291624815,0.0592831175073406,0.0003865627852311,0.141261100087392,0.122932982760718,0.160380711044255,0.0174241991129575,0.0005783667145876
0.22,62,0.142220484286858,0.171652693839167,0.0596519095243048,0.000394617690915908,0.142188167042291,0.123532080151009,0.161353824489662,0.0176150139073108,0.000583627137619712
0.22,63,0.142713198718976,0.172461968030126,0.0601839304127461,0.000399667959158561,0.14263310355031,0.123849582853716,0.162029039644537,0.0177345858552382,0.000586859342419948
0.22,64,0.143328234939099,0.173022991829413,0.0604069159105442,0.000405930664788921,0.143172414750085,0.124270440423775,0.162909449116859,0.0178830034493219,0.000590875437726665
0.22,65,0.143935613775229,0.173659190935734,0.0605385323242693,0.000412078157849218,0.14366044188279,0.124734154122703,0.163519058821166,0.0180278066267463,0.000594778487549706
0.22,66,0.144262124859316,0.174426704853711,0.0609358644610666,0.000415441996500257,0.144131622149843,0.124876567435648,0.163981174545261,0.0181056653723872,0.000596858766640302
