R,DC,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile voltage,Third Quartile voltage,Absolute Mean Deviation voltage,Absolute Local Derivative voltage
10,0.05,0.348969268452548,0.356150798790895,0.0125276947816014,7.18350281180454e-06,0.348515975685423,0.347141825688694,0.350532614726222,0.00210879451304929,4.13270910433372e-05
10,0.1,0.570252258044075,0.579662472669535,0.0164684987409682,1.24042134737808e-05,0.569927593017966,0.567804716464456,0.572741300124411,0.00282785943887174,6.50890837856718e-05
10,0.15,0.758055004015439,0.769894428819784,0.0195167402177938,1.6725222056637e-05,0.757834839064762,0.754888744207342,0.760384788774733,0.00325157571309282,8.48525883375473e-05
10,0.2,0.936449225104935,0.944214437898235,0.017761876422886,1.6024704017765e-05,0.936550775908447,0.933568348610423,0.939555035299505,0.00332758109861587,0.000103406036382451
10,0.25,1.11209719485272,1.12015761457177,0.017474833945506,1.74132643186718e-05,1.11229213154957,1.10859221293168,1.11562441155697,0.00358494746650978,0.000121508188607932
10,0.3,1.28720175079834,1.29642855808551,0.0194278957840377,2.38753541195329e-05,1.28741133426415,1.28316487619076,1.29123794969685,0.00417504409701792,0.000139376934446482
10,0.35,1.45061405649461,1.46482119715453,0.0282511607458265,5.75530166644562e-05,1.4505935044569,1.4450334719097,1.45618534989307,0.00615452778552872,0.000155963131565735
10,0.4,1.61961259288374,1.63372045584067,0.029096494843317,5.37170234715324e-05,1.61972243494915,1.61479928418473,1.62484669030367,0.00600508741523934,0.000173005737890262
10,0.45,1.78904731527095,1.80586944347967,0.0348854705923929,7.7626321817809e-05,1.78899228054017,1.78320719757537,1.79603702552869,0.00717824630425984,0.000190101173023
10,0.5,2.03171479163138,2.05000365355562,0.0387744229649436,9.49947419960711e-05,2.03166937081759,2.02570939254472,2.03951983280513,0.00796440683272424,0.000220518771343936
10,0.55,2.25633367968209,2.27594719930287,0.0440802600945109,0.000107694249931794,2.25630465787938,2.24974106614503,2.26393064062464,0.00853614973757484,0.000255926390848101
10,0.6,2.44445530146379,2.46335546837827,0.0391352714310833,9.82549318767326e-05,2.44447747380295,2.4363170365552,2.45246903553931,0.0084343773686745,0.000286372985787821
12,0.05,0.389604467716978,0.397130373239107,0.0128938555519088,7.95883084412742e-06,0.389041795222224,0.387690289740135,0.391145059843143,0.0022183372637248,3.92456234259288e-05
12,0.1,0.631289573161704,0.641150387824276,0.016979465855075,1.369123475489e-05,0.630777909376707,0.628798589927151,0.633925677219061,0.00297463270736783,6.1559049607487e-05
12,0.15,0.835804588817486,0.847986380491727,0.0197403985823866,1.74896136883654e-05,0.835404036930021,0.832648751689172,0.837975853678327,0.00327646641079763,8.00961503504588e-05
12,0.2,1.0295014514661,1.03726991743486,0.0176985526323021,1.55439903040907e-05,1.02954401460603,1.02677378255171,1.03245258573879,0.00324984369360933,9.74677400858718e-05
12,0.25,1.22027907474061,1.22818820741099,0.0170101973435954,1.58151954515311e-05,1.22043168301078,1.21700409133573,1.22355442156179,0.00339659840937854,0.000114411251303282
12,0.3,1.40946478771134,1.41854224129907,0.0188978751712745,2.19092613663292e-05,1.40962673852624,1.40570582669055,1.41317827891168,0.00396975270204156,0.000131102673334546
12,0.35,1.58592998292663,1.60027725725902,0.0282606936920433,5.96768068529468e-05,1.5858516461235,1.57991994424456,1.5919759090499,0.00630723791577686,0.000146575594686263
12,0.4,1.77036261282073,1.78336920650522,0.0281693335057287,5.04943752217481e-05,1.77036968003574,1.7658815456949,1.77606383433527,0.00581412777909004,0.000162618970231874
12,0.45,1.93920737585202,1.95120283802108,0.0252918795812322,4.26352322698142e-05,1.93939340982891,1.93410131591339,1.943993005637,0.00550228705207765,0.000177287048453555
12,0.5,2.18152844885813,2.19973880123469,0.0388663816405845,9.93562774207219e-05,2.18120420473652,2.1749798658737,2.18978863782275,0.00816026382225718,0.000200467758691655
12,0.55,2.43843361991132,2.45802072798454,0.0446309601082966,0.000110969744369092,2.43829262082,2.43102222657224,2.44543220553707,0.0085975408585601,0.000233653658066668
12,0.6,2.6561073324895,2.67463608104828,0.0385433111158253,9.1074580412642e-05,2.65607796876798,2.64883524690986,2.66334352345897,0.00800747388557497,0.000263174413773231
15,0.05,0.443663192301385,0.451798584252874,0.0136070795121356,9.43684094662927e-06,0.442947100242912,0.441507749037362,0.445192559142421,0.00241843395363682,3.66233767190254e-05
15,0.1,0.71246497826196,0.722718867743551,0.017378132160267,1.51107939993777e-05,0.7117691318682,0.709713643679143,0.715132355764516,0.00314354356955062,5.71774806030454e-05
15,0.15,0.937987963812885,0.950669313429063,0.020129523220492,1.90349394986835e-05,0.937349352552131,0.934823216215393,0.939973024386834,0.00335478421182435,7.41586545661568e-05
15,0.2,1.15154512578873,1.15931891323805,0.017656682408876,1.52484335338819e-05,1.1515269609795,1.1487591876897,1.15430658059172,0.00319656982028569,9.00769974885194e-05
15,0.25,1.36048420742311,1.36822930110533,0.0165084687032677,1.41501779580383e-05,1.36059221553512,1.35751124633654,1.3634592352838,0.00318179530963742,0.000105522959511729
15,0.3,1.56847944173237,1.57731473909143,0.0181906949336059,1.97155982391957e-05,1.56858675139628,1.56508285137537,1.57179011284064,0.00372819705824025,0.000120774312616351
15,0.35,1.76189516612053,1.7763430831659,0.028173153161513,6.25961084459141e-05,1.76172015259153,1.75540437873966,1.76849101061217,0.00662234035709522,0.000134899845516
15,0.4,1.96323639339516,1.9770840119619,0.0281353642036823,5.19703805951318e-05,1.96318963626089,1.95793704141553,1.96831163912737,0.00586432927067167,0.000149514688239703
15,0.45,2.16053619299064,2.17602750554831,0.0304521077321613,5.52937211161352e-05,2.16053928686517,2.15549154531802,2.16618590108441,0.00605780426875117,0.000163739847200985
