R,DC,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile voltage,Third Quartile voltage,Absolute Mean Deviation voltage,Absolute Local Derivative voltage
0.022,50,0.0135500778719973,0.0304630422517219,0.0297341115642379,0.000122152962172766,0.0105235079078024,0.00270295405879905,0.0253854222770787,0.0101185581136801,0.00029454079544851
0.022,51,0.0136748107531776,0.0313127559414877,0.0306019479135103,0.000126423421760017,0.0103673861699615,0.00268823034960181,0.0256094256455982,0.0102789794247387,0.000300930823796716
0.022,52,0.0138187507407919,0.0319913515045361,0.0312743140217256,0.000131533185595435,0.0103184322495046,0.00266750364704294,0.0258848262714738,0.0104659044683375,0.000308735114809608
0.022,53,0.0139887476425723,0.0327493320143993,0.0320316091538252,0.000137815405160538,0.0101603724768292,0.00264751679275555,0.0262311156134595,0.0106893140860138,0.000318260886830961
0.022,54,0.0140936105996468,0.0334019897463885,0.0326909753411415,0.000141842533359389,0.0101562156565257,0.00260750607668598,0.026400978342753,0.0108287324736468,0.000324256526899883
0.022,55,0.0142264167745411,0.0341849510808857,0.0334852214549733,0.000147103817376591,0.0102465047781859,0.00257943978293967,0.0267940070924297,0.0110067038245274,0.000331915868035745
0.022,56,0.0143209708386141,0.0348421911881721,0.0341474915207037,0.000150963182796477,0.0101888939685619,0.00255912983450352,0.0268115684088707,0.0111344655469875,0.00033740351986061
0.022,57,0.0144403500171347,0.0354816159639107,0.0347940185384499,0.000155976734782222,0.0101097291919207,0.00257516603796313,0.0271209148914979,0.0112972458864046,0.000344359521346731
0.022,57,0.0145200491782916,0.0358755160605488,0.0351919130174544,0.000159379067167601,0.0100735308504853,0.00259700446706398,0.027313321079803,0.0114056921563673,0.000348990829526239
0.022,59,0.0146467483852483,0.0366122116890734,0.0359246878490682,0.000164924995162051,0.00988421338749316,0.00256978076056433,0.0273924803042226,0.0115790369488059,0.000356289369517487
0.022,60,0.0147381654715605,0.0371275122748422,0.0364470931088906,0.000169042202968036,0.00995088132969085,0.00254518465973594,0.0277259418404233,0.0117051692534456,0.000361551151254328
0.022,61,0.0148043420217593,0.0374700642459419,0.0367986075977559,0.000172067125603974,0.0100122352815241,0.0025208731722366,0.0277783440878223,0.0117966500261807,0.000365331794721798
0.022,62,0.0148850551211577,0.0379649863978476,0.0372959945774008,0.000175822334475927,0.01001906085413,0.00250326774639495,0.0277799163778047,0.0119086462621683,0.000369894095606695
0.022,63,0.014934866777246,0.0382412071470547,0.0375750051247369,0.000178169895401971,0.0100011013937058,0.00247822594200703,0.0279648811883974,0.0119780373964166,0.000372652581399953
