fault type,input voltage,derivative of MV,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile voltage,Third Quartile voltage,Absolute Mean Deviation voltage,Absolute Local Derivative voltage
1,1,4.75389837184978e-07,0.393094817568507,1.00549338989349,1.00549218991522,0.229616753954241,0.000942210248385306,1.19997826945137e-06,0.998249225630508,0.46399072000366,3.68338556072035e-05
1,1.1,5.50352571652536e-07,0.43238879346236,1.10669712149026,1.10669592156278,0.277833291569851,0.00103559182512327,1.1999274874182e-06,1.09808093513555,0.510383578391945,4.02932886247559e-05
1,1.2,6.12907906662548e-07,0.471691702703524,1.20752627816018,1.20752507815461,0.33064292884094,0.00112948956961715,1.20000557812449e-06,1.19790444347793,0.556779583808529,4.37578654502661e-05
1,1.3,6.75483174406553e-07,0.511025568587924,1.30731724400121,1.30731604405411,0.388051299828577,0.00122507550244826,1.19994710065399e-06,1.29773260478403,0.603187990578843,4.71929888611112e-05
1,1.4,7.50407574070855e-07,0.550360300356073,1.40815350244992,1.40815230248906,0.450060765109718,0.00132042017048995,1.19996085720886e-06,1.39757481723698,0.649601073343981,5.06345213647098e-05
1,1.5,8.13019512482493e-07,0.589638215960146,1.50862319893714,1.50862199894027,0.516639403288867,0.00141302029047643,1.19999687527221e-06,1.4974006987502,0.695986066729422,5.40474965799933e-05
1,1.6,8.87959792043566e-07,0.628700642865803,1.60924274942651,1.60924154948924,0.587346912460942,0.00150704369842392,1.19993726857822e-06,1.59657655361452,0.742087717697077,5.74372723876834e-05
1,1.7,9.50630341692027e-07,0.66823013888615,1.70959328963129,1.70959208962181,0.663578678119624,0.001600226183359,1.20000947995999e-06,1.69704845563267,0.788769992117291,6.08523223697154e-05
1,1.8,1.0255747922321e-06,0.707510815497352,1.81022452876755,1.81022332875951,0.743925166662183,0.00169314886868727,1.20000804035743e-06,1.79686766984934,0.835153551520185,6.42350385086828e-05
1,1.9,1.08816741234048e-06,0.746768845502285,1.90952698971058,1.90952578974728,0.828874169869313,0.00178429242829053,1.19996329651923e-06,1.8967151683612,0.881536243180992,6.76114944374615e-05
1,2,1.16439645983138e-06,0.786013071088101,2.01002711815291,2.01002591817125,0.918280534156945,0.00187808101600917,1.19998165521391e-06,1.99638508872289,0.92786251115393,7.09628514695479e-05
2,1,3.64909987901098e-10,0.596616012676408,2.76011541767743,2.76011427764678,0.461811376616668,0.324623995080507,1.14003065574843e-06,1.00134607099194,0.588248800768112,5.74429419269912e-05
2,1.1,3.9915808304803e-10,0.612755285137553,2.74228866803779,2.7422874751652,0.475278865359787,0.166844279532979,1.1928725953082e-06,1.10104830317138,0.619361335715039,5.86018101765499e-05
2,1.2,4.3355321016101e-10,0.632975291480926,2.72586921501507,2.72586803160079,0.499106287507172,0.0987748747741835,1.18341427756075e-06,1.20074551207755,0.652424641711552,6.01633767221317e-05
2,1.3,4.67667965465476e-10,0.655796922946079,2.70555516699123,2.70555399232464,0.532080835165343,0.0634144871043234,1.17466659148814e-06,1.30045576439161,0.687192749756608,6.194558964878e-05
2,1.4,5.01673512593656e-10,0.680061380588275,2.6869036951674,2.686902529567,0.573337607951859,0.0423739229372861,1.16560040063116e-06,1.40015885516421,0.723327715993842,6.38763281586978e-05
2,1.5,5.35517921125064e-10,0.86260794959674,9.99020118146849,9.99020002270504,1.27335735746334,0.219682140572043,1.15876345706043e-06,1.50133694239917,0.873974497554791,8.74147820819059e-05
2,1.6,5.68884166611272e-10,0.733540920477085,2.65192465813427,2.65192350620441,0.677724856799191,0.0225262557359484,1.15192986069695e-06,1.59889013089542,0.798806876291305,6.81744409632524e-05
2,1.7,6.03042714189608e-10,0.762688183315832,2.63600572842215,2.63600458302997,0.740812749853355,0.0175523754092856,1.14539217359266e-06,1.69921620276237,0.838429961086071,7.05329496913873e-05
2,1.8,6.36557763568843e-10,0.791871027157704,2.62295134923193,2.62295020997733,0.809766576227504,0.0137971949565599,1.13925460339959e-06,1.79888009179613,0.878406233281219,7.28902195797702e-05
2,1.9,6.70135544284245e-10,0.955917371547073,8.85453334265895,8.85453215447979,1.34465676693713,0.0670777632765435,1.18817915978247e-06,1.90013066069246,1.01266426761795,9.36771281931965e-05
2,2,7.0336679406216e-10,0.852949005914231,2.60640538482586,2.60640419044097,0.965775015097374,0.0093305583245792,1.19438488951344e-06,1.99808560596752,0.960385089289297,7.78311155674851e-05
