R,DC,mean voltage,maximum voltage,range voltage,variance voltage,median voltage,First Quartile voltage,Third Quartile voltage,Absolute Mean Deviation voltage,Absolute Local Derivative voltage
0.1,57,0.0648630444360878,0.0934097044350598,0.055880945424093,0.000352361270364528,0.0638815542160344,0.0470587921580328,0.0831945478326112,0.0166894168865169,0.000548174333160963
0.1,59,0.0654322154960294,0.0943834993828201,0.0565629792778999,0.000364009710278597,0.0644873050807959,0.0472955632927595,0.0840885329775301,0.0169717844771262,0.000556228088016922
0.1,60,0.0658493438429413,0.0951235056891698,0.057177026319067,0.000372667520781705,0.0647270235435468,0.0474745471774322,0.0846643116605397,0.0171793717591206,0.000562033348127522
0.1,61,0.0661514322939415,0.0957202985786182,0.0576801552753494,0.000379015834002731,0.0647996149467459,0.047582555274367,0.0853001694546631,0.0173305764908583,0.000566247276942576
0.1,62,0.0665197684655641,0.0962792432318225,0.0580115935727932,0.000386841438847494,0.0652100916411105,0.0477237678316828,0.0858573882024017,0.0175163112006709,0.000571352475071947
0.1,63,0.0667473443220107,0.0967874390675107,0.0585419135286766,0.000391732924178806,0.0654623956774085,0.04778175389509,0.0862830517550833,0.0176326518153201,0.000574499221010863
0.1,63,0.0670301122186959,0.0971801341368911,0.0588445602685041,0.000397802690519074,0.0658142011374894,0.047925461064829,0.0867781820929424,0.0177777134681417,0.00057836382509217
0.1,64,0.0673046033983244,0.097542721280216,0.0591806169680958,0.000403741878199248,0.0660319624527477,0.0480961317027004,0.087138514389676,0.017919329921664,0.000582113902413987
0.1,65,0.0674519850677608,0.0979500269914229,0.0593648665068281,0.000406956265924867,0.0659450646638874,0.0481970385442055,0.0874883317605722,0.0179953474385725,0.000584109894843358
0.1,67,0.0676137376599377,0.0981586870476559,0.0595542926577276,0.000410435352794051,0.0661852319260556,0.0482408835356918,0.0878381608773948,0.0180781300652726,0.000586261539961607
0.1,68,0.0677160537299409,0.0982281103962258,0.0595617078078161,0.000412616272935291,0.0661581483755328,0.0483088810258474,0.0879251611007705,0.0181296729872066,0.000587597278901987
0.1,69,0.067815115254159,0.0983586312295486,0.0596752557253561,0.000414716751861325,0.0662172962723965,0.0483937774550745,0.0879500775961878,0.0181793409459308,0.000588895925011466
0.1,70,0.0678716550724162,0.0984882710857708,0.0598019362047291,0.000415895394480391,0.0662310102467988,0.0484561797428258,0.087990471795614,0.0182071373049732,0.000589642306326664
0.1,71,0.0678915802240472,0.0984202595768747,0.059729236697817,0.000416216844712144,0.0662720544212083,0.0484398383243027,0.0880819366517358,0.018215369997393,0.000589861838902638
0.1,72,0.0681368395697351,0.102224005743879,0.0657238996970205,0.000421259538808645,0.066671224364202,0.0485830017125213,0.0884069694189779,0.018300273100087,0.00059212228884022
0.1,73,0.0685183194647495,0.103029029498056,0.0654976818167351,0.000426914785597708,0.0670993909555587,0.0488881986855355,0.0889096841815044,0.0184168262792459,0.000595869592996058
0.1,74,0.0690283099222036,0.104489292615725,0.0686398435295625,0.000434029667170095,0.0675990238229369,0.0492074123594283,0.0895428329945273,0.0185678430394891,0.000601026470586954
0.1,75,0.0693667569360923,0.104010470282537,0.0666769823837989,0.000439257931895059,0.0679398587624208,0.0494434240990577,0.0900335676181727,0.0186730855853684,0.00060441173292723
0.1,76,0.0698784545851506,0.102944102988746,0.0658472939490247,0.000444411058890842,0.0685060913138181,0.0497909726751956,0.09074493863285,0.0187979296049269,0.000609614240346218
0.1,77,0.0702109482717394,0.107025811221294,0.0702312319694089,0.000449489542122898,0.0688337759187663,0.0500442566708216,0.0911722493742603,0.0188978043731205,0.000613087177705727
0.1,78,0.0704297792746578,0.106922791836215,0.0684002396231908,0.000453509525572896,0.0690944565003384,0.0502307756525972,0.0914766821267368,0.0189703211435008,0.000615463963758866
0.1,79,0.0706877696135138,0.109772338902399,0.0739708533488489,0.000458626906976967,0.0694497546671274,0.0504394624395171,0.0917282474012853,0.0190601716621316,0.00061821191308496
0.1,80,0.0707898136504452,0.109008822459598,0.0711704440236122,0.00046026710959722,0.0695814462393834,0.050520920404601,0.0918368302733573,0.0190895572155975,0.00061950082412771
0.2,57,0.126613195086638,0.154985710059646,0.057409880903401,0.000360101515006575,0.126602639162772,0.108804626520384,0.144815599615099,0.0167969611952165,0.000560040602561584
0.2,59,0.127755072351606,0.156622354721151,0.0580732840090185,0.000372155879468155,0.127498641446354,0.109574532899382,0.146323628596425,0.0170875875216956,0.000568290773358726
0.2,60,0.128578598229722,0.157716693893273,0.0587794683889409,0.000381101101230337,0.128429901522746,0.110149029176329,0.147406879440536,0.017300248487766,0.000574243877237516
0.2,61,0.129174727199744,0.158549523468968,0.059259132390434,0.000387656462373007,0.129041712256555,0.11054581223721,0.148254588009206,0.0174557257235568,0.000578543830022378
0.2,62,0.129899581321463,0.159412555897552,0.0596215618726246,0.000395709284146702,0.129696678561671,0.111083126232085,0.149144843634456,0.0176471494008411,0.00058377275769978
0.2,63,0.130347145477426,0.160165844684088,0.0601489857079699,0.000400759112067632,0.130016299581305,0.111333706025126,0.149758620541118,0.0177663272068868,0.000586993579766971
0.2,63,0.130913248889948,0.160708772766189,0.06039638081985,0.000407052702154591,0.130580674659468,0.111770913182272,0.150480975074314,0.0179146332452151,0.00059101334538453
0.2,64,0.131466135385676,0.161280102425276,0.0605401825104587,0.000413196060543361,0.131340622601267,0.112111275326208,0.151180857696403,0.0180584356497764,0.000594876435892984
0.2,65,0.131763524798691,0.162003548389912,0.0609190364857004,0.000416551925302716,0.131605355482184,0.112428187424734,0.151632759560942,0.0181374063872289,0.00059695296428496
0.2,67,0.132088304870231,0.162359639748146,0.0611027390046704,0.000420162367689174,0.131916023000444,0.112623574615454,0.152069874486733,0.0182229244325042,0.000599230940122402
0.2,68,0.132292523738275,0.162489616320403,0.0611045618923347,0.000422435773485469,0.13203365722053,0.112835022630549,0.152281230687791,0.0182762817241842,0.000600661088770471
0.2,69,0.132491052959111,0.162717731197546,0.0611511954932238,0.000424616054934753,0.132174242807638,0.112949708941686,0.152505513574731,0.0183274581480751,0.000602030329817567
0.2,70,0.132605590270961,0.162884394062218,0.0613000806065844,0.000425836360438362,0.132288427951359,0.113069870088726,0.152575120828792,0.018356319132102,0.000602806842349126
0.2,71,0.132644976485598,0.162904503593275,0.061200131902939,0.000426155923750939,0.132331788273452,0.113075213018699,0.152689497808783,0.0183646434484669,0.000603017079370818
0.2,72,0.13315855420793,0.16712800152533,0.0690670817931081,0.000432411769496914,0.132992195660439,0.113554245541487,0.153267145219994,0.0184660031714639,0.000605630172839504
0.2,73,0.133900731360896,0.16918728808339,0.0697067157695672,0.000439422989752232,0.133664494653298,0.114193502681765,0.154111805372472,0.0185968660509492,0.000609639422027902
0.2,74,0.134916477678023,0.171437601970378,0.0743986643930161,0.000447142140079153,0.134750415140696,0.115072769997367,0.15525108907069,0.0187525929927212,0.000615221466157169
0.2,75,0.135605557011463,0.171260226134992,0.0715457811674452,0.000452275091485142,0.13548723769984,0.115638734012325,0.156060398763032,0.018856508329052,0.000618953414676747
0.2,76,0.136623806255068,0.170338724237784,0.0705161438014123,0.000457137480964692,0.136622042893081,0.116544050993703,0.157276801990106,0.0189740410363599,0.000624561659686594
0.2,77,0.137279749213011,0.174683481594805,0.0758148140151117,0.000462193519716736,0.137323941316101,0.117165342750955,0.158099323458891,0.0190724225247233,0.000628415580075589
0.2,78,0.137746979295562,0.174683056003256,0.0722024607719424,0.000467632443852766,0.137756549936718,0.117540207608464,0.158587990697861,0.019162079586963,0.000631106309133846
0.2,79,0.138260919967657,0.180053414498505,0.0831515852207884,0.000474205468667453,0.138334375686653,0.118039736898362,0.15909493374955,0.0192676643961842,0.000634259697594093
0.2,80,0.138453920376668,0.179408870145062,0.0781689369757453,0.000476467526008094,0.138501455701354,0.118199023833218,0.159302153093903,0.0193036675632159,0.000635725483152708
0.3,57,0.185449490499018,0.213467931843354,0.0572211155783774,0.000352659913611581,0.18568595165213,0.167872627501974,0.203234034968145,0.0165952141711951,0.000556743906826232
0.3,59,0.187163834655674,0.215741849831584,0.0579184869059888,0.000364650351700696,0.187234880516849,0.169216137420446,0.205427399292439,0.0168868012334719,0.000565063480828125
0.3,60,0.188404807317784,0.217194485528256,0.0586338083292783,0.000373549949135981,0.188520554519938,0.170187941352186,0.206867777906808,0.0171007933616515,0.00057106409752961
0.3,61,0.189300563546099,0.218327450854156,0.0590878051828422,0.00038009171036965,0.189461238753715,0.170939987115743,0.207974510050398,0.017257531216038,0.000575420385790608
